symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,calloi,putoi
ACB,8/15/2019,0.8402,0.8238,0.8320,50834,21292,550731,167614
ACC,8/15/2019,0.2003,0.1948,0.1976,3,2,879,417
ACCO,8/15/2019,0.3916,0.3928,0.3922,2,5,1755,6053
ACETQ,8/15/2019,0.0000,0.0000,0.0000,0,0,589,67
ACGL,8/15/2019,0.2156,0.2141,0.2148,70,0,1796,667
ACH,8/15/2019,0.4173,0.4690,0.4432,5,2,499,491
ACHC,8/15/2019,0.4033,0.4278,0.4156,0,1,14694,3037
ACHN,8/15/2019,0.8928,0.8197,0.8562,110,46,16126,3659
ACIA,8/15/2019,0.1369,0.1486,0.1427,61,24,14132,16903
ACIW,8/15/2019,0.3754,0.3710,0.3732,4,12,4124,1825
ACLS,8/15/2019,0.4073,0.3742,0.3908,2,32,883,1362
ACM,8/15/2019,0.2926,0.2882,0.2904,9,35,5185,3095
ACN,8/15/2019,0.2498,0.2434,0.2466,1080,2576,41156,44660
ACOR,8/15/2019,1.2697,1.5444,1.4070,859,705,5271,5308
ACRE,8/15/2019,0.0661,0.0553,0.0607,4,0,522,42
ACRS,8/15/2019,0.0000,0.0000,0.0000,8,0,2192,1322
ACRX,8/15/2019,0.6321,0.6474,0.6398,318,57,28447,11086
ACTG,8/15/2019,0.5535,0.5535,0.5535,0,0,2666,608
ACWI,8/15/2019,0.1817,0.1739,0.1778,0,105,10333,12602
ACWV,8/15/2019,0.1185,0.1364,0.1274,0,0,49,12
ACWX,8/15/2019,0.9388,0.9713,0.9550,0,0,0,0
ADAP,8/15/2019,0.0000,0.0000,0.0000,3,0,503,6
ADBE,8/15/2019,0.3361,0.3318,0.3339,10811,9291,99664,130190
ADC,8/15/2019,0.4422,0.2074,0.3248,2,5,86,33
ADI,8/15/2019,0.3479,0.3713,0.3596,926,868,32310,33815
ADM,8/15/2019,0.2504,0.2779,0.2642,1484,1328,59071,47045
ADMA,8/15/2019,1.3235,1.2344,1.2790,57,100,5235,412
ADMP,8/15/2019,1.5223,1.5201,1.5212,186,25,10937,1755
ADMS,8/15/2019,0.8619,0.9050,0.8834,100,0,4653,539
ADNT,8/15/2019,0.7427,0.7287,0.7357,8140,1392,78539,103534
ADP,8/15/2019,0.2262,0.2384,0.2323,461,337,21792,18422
ADPT,8/15/2019,0.7449,0.7762,0.7606,692,103,1258,1510
ADRO,8/15/2019,0.0000,0.0000,0.0000,0,0,942,36
ADS,8/15/2019,0.3178,0.3436,0.3307,9035,9600,27403,35450
ADSK,8/15/2019,0.5002,0.4976,0.4989,2897,2788,45196,49767
ADSW,8/15/2019,0.6887,0.8485,0.7686,0,0,1925,490
ADT,8/15/2019,0.4823,0.6133,0.5478,157,47,12705,6992
ADTN,8/15/2019,0.4000,0.3898,0.3949,14,806,3672,3259
ADUS,8/15/2019,0.3344,0.3278,0.3311,41,4,421,587
ADVM,8/15/2019,1.6982,1.6484,1.6733,693,246,13521,9947
AEE,8/15/2019,0.1896,0.1979,0.1937,60,1,1664,644
AEG,8/15/2019,0.5615,0.5932,0.5774,275,48,2805,3377
AEGN,8/15/2019,0.3975,0.3623,0.3799,0,2,180,177
AEIS,8/15/2019,0.4307,0.4296,0.4302,0,4,437,666
AEL,8/15/2019,0.4017,0.3919,0.3968,0,0,257,104
AEM,8/15/2019,0.3355,0.3537,0.3446,2397,12046,59766,42300
AEO,8/15/2019,0.6297,0.6338,0.6318,1116,1052,27694,13718
AEP,8/15/2019,0.1864,0.1900,0.1882,704,127,39686,30235
AER,8/15/2019,0.3141,0.3064,0.3103,126,40,8574,22413
AERI,8/15/2019,0.7246,0.7214,0.7230,233,24,12823,4156
AES,8/15/2019,0.2791,0.2758,0.2774,43,40,9446,7453
AEZS,8/15/2019,1.1958,0.9797,1.0878,3,0,17027,1407
AFG,8/15/2019,0.2262,0.2279,0.2270,17,5,922,349
AFH,8/15/2019,0.0000,0.0000,0.0000,36,0,3251,7
AFI,8/15/2019,0.6779,0.4555,0.5667,1,0,252,90
AFL,8/15/2019,0.1885,0.2213,0.2049,918,430,62499,46261
AFMD,8/15/2019,0.5627,0.5562,0.5594,16,0,4498,434
AFTY,8/15/2019,0.2502,0.2721,0.2612,0,0,183,743
AG,8/15/2019,0.6401,0.6560,0.6480,2844,469,155559,40323
AGCO,8/15/2019,0.3530,0.3440,0.3485,137,488,2317,2262
AGEN,8/15/2019,0.6955,0.7810,0.7383,460,116,17635,7749
AGFS,8/15/2019,0.0000,0.0000,0.0000,0,0,1414,118
AGG,8/15/2019,0.0509,0.0629,0.0569,255,96,773,952
AGI,8/15/2019,0.5385,0.4388,0.4886,890,146,22266,7159
AGIO,8/15/2019,0.5193,0.5431,0.5312,350,666,8115,6487
AGLE,8/15/2019,0.8030,0.5934,0.6982,0,0,286,41
AGM,8/15/2019,0.3205,0.3909,0.3557,2,0,127,141
AGN,8/15/2019,0.1835,0.1626,0.1730,1320,1213,103215,152317
AGNC,8/15/2019,0.1636,0.1845,0.1740,2742,1551,43167,63039
AGO,8/15/2019,0.2056,0.2165,0.2110,520,264,15038,20533
AGQ,8/15/2019,0.5010,0.5051,0.5030,618,34,14877,3149
AGR,8/15/2019,0.2302,0.2320,0.2311,2,0,247,20
AGRO,8/15/2019,0.3582,0.6448,0.5015,8,33,619,17
AGRX,8/15/2019,0.0000,0.0000,0.0000,3,0,7598,1
AGS,8/15/2019,0.8608,0.7826,0.8217,29,1,662,33
AGTC,8/15/2019,1.7784,1.2608,1.5196,195,20,2845,20
AGX,8/15/2019,0.5333,0.4121,0.4727,30,0,532,398
AGYS,8/15/2019,0.5170,0.3306,0.4238,69,0,999,14
AHC,8/15/2019,1.1140,1.1140,1.1140,0,0,63,80
AHH,8/15/2019,0.5258,0.2850,0.4054,0,0,372,25
AHT,8/15/2019,0.5030,0.5030,0.5030,198,0,2303,3560
AI,8/15/2019,0.4508,0.5245,0.4876,20,20,1246,1183
AIA,8/15/2019,0.2449,0.2454,0.2452,0,0,25,1
AIG,8/15/2019,0.2745,0.2589,0.2667,3499,1182,160129,121966
AIMC,8/15/2019,0.4535,0.4802,0.4668,0,10,4405,3482
AIMT,8/15/2019,1.0101,0.9892,0.9996,393,45,10597,4619
AIN,8/15/2019,0.2949,0.3044,0.2996,3,3,612,104
AINV,8/15/2019,0.1888,0.2739,0.2314,28,7,1924,3518
AIR,8/15/2019,0.4166,0.3034,0.3600,27,27,1427,1086
AIRG,8/15/2019,0.9173,0.6325,0.7749,2,20,1515,1116
AIT,8/15/2019,0.3473,0.3342,0.3408,15,3,240,364
AIV,8/15/2019,0.2099,0.2086,0.2092,27,0,509,2446
AIZ,8/15/2019,0.2141,0.2333,0.2237,42,23,1262,1095
AJG,8/15/2019,0.1805,0.2262,0.2034,1284,4,1835,788
AJRD,8/15/2019,0.3543,0.3618,0.3580,68,24,6250,6856
AKAM,8/15/2019,0.3070,0.2945,0.3007,1146,197,23893,15488
AKAOQ,8/15/2019,0.0000,0.0000,0.0000,0,0,8651,428
AKBA,8/15/2019,0.5534,0.9786,0.7660,48,10,52759,1158
AKCA,8/15/2019,0.6748,0.6577,0.6662,2,10,3918,3624
AKG,8/15/2019,0.0000,0.0000,0.0000,1050,1,797,48
AKR,8/15/2019,0.1540,0.1545,0.1542,0,0,52,57
AKRX,8/15/2019,0.8008,0.7801,0.7904,458,30,28634,4985
AKS,8/15/2019,0.8446,0.8549,0.8498,2294,1136,138134,173287
AKTS,8/15/2019,1.0359,0.9936,1.0148,0,10,1713,149
AL,8/15/2019,0.3421,0.3541,0.3481,37,11,8766,4727
ALB,8/15/2019,0.4211,0.4169,0.4190,1430,1195,37312,29146
ALBO,8/15/2019,0.6814,0.6914,0.6864,65,53,438,379
ALC,8/15/2019,0.2221,0.2232,0.2226,65,9,1807,746
ALDR,8/15/2019,0.8351,0.8596,0.8474,10,0,2535,848
ALDX,8/15/2019,1.2374,1.2399,1.2386,2,0,2991,800
ALE,8/15/2019,0.2802,0.2510,0.2656,0,7,50,107
ALEX,8/15/2019,0.3263,0.3003,0.3133,0,0,443,104
ALFA,8/15/2019,0.2353,0.2388,0.2370,0,0,0,0
ALG,8/15/2019,0.2939,0.2973,0.2956,0,0,108,102
ALGN,8/15/2019,0.4356,0.4286,0.4321,2860,4017,49713,36021
ALGT,8/15/2019,0.2901,0.2920,0.2911,14,2,16671,634
ALIM,8/15/2019,0.0000,0.0000,0.0000,4,0,77,5
ALK,8/15/2019,0.2947,0.3355,0.3151,693,658,22522,23921
ALKS,8/15/2019,0.5187,0.4981,0.5084,832,3,5563,2629
ALL,8/15/2019,0.2004,0.2261,0.2132,171,213,16484,17618
ALLE,8/15/2019,0.2428,0.2435,0.2432,2,3,784,203
ALLK,8/15/2019,1.5248,1.5820,1.5534,148,114,11271,16671
ALLO,8/15/2019,0.5657,0.5916,0.5786,55,42,1507,1129
ALLT,8/15/2019,0.3957,0.3247,0.3602,35,0,1141,190
ALLY,8/15/2019,0.2850,0.2732,0.2791,593,140,225905,36482
ALNY,8/15/2019,0.4730,0.4607,0.4668,27,24,18618,12778
ALRM,8/15/2019,0.3991,0.3816,0.3903,90,113,6262,9324
ALSK,8/15/2019,0.0000,0.0000,0.0000,6,0,227,2
ALSN,8/15/2019,0.2924,0.2892,0.2908,24,5,4417,1382
ALT,8/15/2019,1.0622,0.9126,0.9874,41,28,4653,489
ALTM,8/15/2019,0.0000,0.0000,0.0000,0,0,0,0
ALTR,8/15/2019,0.4827,0.3837,0.4332,1,30,57,56
ALV,8/15/2019,0.3411,0.4207,0.3809,16,13,1191,2905
ALXN,8/15/2019,0.4177,0.3972,0.4074,1124,307,45020,37008
AM,8/15/2019,0.5111,0.4740,0.4926,946,268,26335,18961
AMAG,8/15/2019,0.7370,0.6299,0.6834,1347,493,14598,10595
AMAT,8/15/2019,0.4231,0.4243,0.4237,23523,27003,253826,325866
AMBA,8/15/2019,0.5711,0.5590,0.5651,135,291,31795,21012
AMBC,8/15/2019,0.4095,0.3760,0.3928,2,8,47407,2272
AMC,8/15/2019,0.5305,0.6616,0.5960,1491,322,54863,33405
AMCR,8/15/2019,1.0724,1.6917,1.3820,0,18,171,584
AMCX,8/15/2019,0.3139,0.3115,0.3127,49,112,3915,3243
AMD,8/15/2019,0.5722,0.5719,0.5720,234922,91825,1434638,1271020
AME,8/15/2019,0.2406,0.2403,0.2404,16,30,4572,3791
AMED,8/15/2019,0.3785,0.3559,0.3672,11,323,2764,4393
AMG,8/15/2019,0.3727,0.3778,0.3752,87,161,2337,5778
AMGN,8/15/2019,0.2740,0.2373,0.2557,3951,5355,73371,110761
AMH,8/15/2019,0.2580,0.1533,0.2056,0,0,804,615
AMJ,8/15/2019,0.3387,0.2937,0.3162,75,61,17403,5990
AMKR,8/15/2019,0.4281,0.4267,0.4274,2,0,4731,10636
AMLP,8/15/2019,0.1957,0.2142,0.2050,684,308,68683,63188
AMN,8/15/2019,0.3140,0.3263,0.3202,105,0,1726,5820
AMNB,8/15/2019,0.3193,0.3253,0.3223,0,0,56,5
AMOT,8/15/2019,0.4586,0.3785,0.4186,0,0,113,21
AMP,8/15/2019,0.3387,0.3404,0.3396,300,114,7134,6169
AMPE,8/15/2019,0.9602,0.9602,0.9602,81,0,24816,252
AMPH,8/15/2019,0.6475,0.3869,0.5172,0,0,855,399
AMPY,8/15/2019,0.5995,1.1107,0.8551,0,0,1401,353
AMR,8/15/2019,0.0000,0.0000,0.0000,1,0,724,36
AMRC,8/15/2019,0.4740,0.3963,0.4352,153,0,611,154
AMRN,8/15/2019,0.6662,0.6188,0.6425,17436,7877,450076,161176
AMRS,8/15/2019,1.2531,1.3424,1.2978,220,37,39880,17802
AMRX,8/15/2019,1.2441,1.2398,1.2420,43,166,8622,2960
AMSC,8/15/2019,0.6786,0.6280,0.6533,77,20,2448,1746
AMSF,8/15/2019,0.2376,0.2372,0.2374,3,0,165,25
AMSWA,8/15/2019,0.2583,0.4714,0.3648,0,0,224,8
AMT,8/15/2019,0.2072,0.2078,0.2075,1905,905,40171,34183
AMTD,8/15/2019,0.3273,0.3323,0.3298,270,314,22890,15485
AMWD,8/15/2019,0.5698,0.5631,0.5664,0,22,548,293
AMX,8/15/2019,0.3106,0.3044,0.3075,60,65,10831,4760
AMZA,8/15/2019,0.7634,0.7804,0.7719,20,116,5633,6526
AMZN,8/15/2019,0.2940,0.2950,0.2945,80694,67653,344748,362633
AN,8/15/2019,0.3143,0.3003,0.3073,73,256,5988,4462
ANAB,8/15/2019,0.7112,0.7071,0.7091,17,17,3323,5913
ANAT,8/15/2019,0.2785,0.2995,0.2890,0,0,480,444
ANDE,8/15/2019,0.4011,0.3341,0.3676,7,43,456,1253
ANET,8/15/2019,0.4163,0.3947,0.4055,1257,1202,22217,21272
ANF,8/15/2019,0.8669,0.8831,0.8750,485,846,37182,35684
ANFI,8/15/2019,0.0000,0.0000,0.0000,0,0,4822,31
ANGI,8/15/2019,0.7501,0.7514,0.7508,762,142,31320,5851
ANGL,8/15/2019,0.0000,0.0000,0.0000,0,0,19,9
ANGO,8/15/2019,0.2944,0.2575,0.2760,10,0,1632,74
ANH,8/15/2019,1.5763,1.5763,1.5763,0,0,243,101
ANIK,8/15/2019,0.4843,0.3594,0.4218,34,9,4070,6279
ANIP,8/15/2019,0.4841,0.3760,0.4300,6,16,1734,1005
ANSS,8/15/2019,0.3000,0.2984,0.2992,42,44,2577,3929
ANTE,8/15/2019,0.0000,0.0000,0.0000,0,0,0,0
ANTM,8/15/2019,0.2710,0.2812,0.2761,1037,934,27817,28314
AOBC,8/15/2019,0.6297,0.6224,0.6260,713,341,18542,9732
AON,8/15/2019,0.2262,0.2202,0.2232,68,25,6820,5260
AOS,8/15/2019,0.2849,0.2793,0.2821,501,401,3507,2891
AOSL,8/15/2019,0.5193,0.5243,0.5218,12,0,179,251
AP,8/15/2019,2.0516,2.0447,2.0482,0,0,10,27
APA,8/15/2019,0.5324,0.5279,0.5302,3937,1673,165910,108945
APAM,8/15/2019,0.3705,0.3110,0.3408,9,0,1031,160
APD,8/15/2019,0.2385,0.2323,0.2354,46,225,9586,8546
APDN,8/15/2019,0.0000,0.0000,0.0000,0,0,1676,453
APEI,8/15/2019,0.3997,0.4003,0.4000,0,0,176,76
APEX,8/15/2019,0.0000,0.0000,0.0000,0,0,0,0
APH,8/15/2019,0.2502,0.2748,0.2625,98,181,13725,6501
APHA,8/15/2019,0.6907,0.8324,0.7615,7183,1022,201960,70831
APLE,8/15/2019,0.2759,0.2465,0.2612,16,151,8831,9483
APLS,8/15/2019,0.6358,0.8579,0.7468,6,1,241,104
APO,8/15/2019,0.3787,0.3705,0.3746,2734,437,48820,43548
APOG,8/15/2019,0.5039,0.4798,0.4918,0,0,1186,639
APPF,8/15/2019,0.3862,0.3833,0.3848,7,10,1031,1200
APPN,8/15/2019,0.5535,0.5446,0.5490,678,4261,8329,11186
APPS,8/15/2019,0.8916,0.7872,0.8394,1615,721,9991,3164
APRN,8/15/2019,0.7255,1.2065,0.9660,184,264,17604,14675
APT,8/15/2019,1.0403,1.0403,1.0403,0,0,1448,60
APTO,8/15/2019,1.1175,1.1175,1.1175,113,0,2438,1349
APTS,8/15/2019,0.1288,0.1351,0.1320,0,0,1727,2090
APTV,8/15/2019,0.3572,0.3561,0.3566,95,551,12640,12823
APU,8/15/2019,0.2713,0.2782,0.2748,8,0,1123,2431
APVO,8/15/2019,0.0000,0.0000,0.0000,0,0,2246,0
APY,8/15/2019,0.6171,0.3934,0.5052,0,3,627,113
APYX,8/15/2019,0.8364,0.8568,0.8466,0,0,209,158
AQMS,8/15/2019,2.1785,2.1785,2.1785,6,1,7144,457
AQUA,8/15/2019,0.5289,0.2803,0.4046,0,0,889,290
AR,8/15/2019,0.8869,0.8665,0.8767,1782,277,284021,28998
ARA,8/15/2019,0.8375,1.0398,0.9386,30,0,958,470
ARAV,8/15/2019,0.8198,0.6041,0.7120,0,0,41,8
ARAY,8/15/2019,0.6961,0.9121,0.8041,294,890,10940,3253
ARC,8/15/2019,0.0000,0.0000,0.0000,0,0,229,20
ARCB,8/15/2019,0.5051,0.4858,0.4954,13,51,476,2629
ARCC,8/15/2019,0.1856,0.1841,0.1849,271,218,34686,59756
ARCH,8/15/2019,0.3964,0.4108,0.4036,23,11,2652,1580
ARCO,8/15/2019,0.5145,0.4511,0.4828,0,0,1825,825
ARCT,8/15/2019,1.0124,0.9785,0.9954,307,32,2921,642
ARD,8/15/2019,0.4168,0.2922,0.3545,0,0,39,559
ARDX,8/15/2019,0.5063,0.5063,0.5063,0,0,238,221
ARE,8/15/2019,0.2040,0.1918,0.1979,40,7,3481,1427
ARES,8/15/2019,0.2426,0.3461,0.2944,2,2,1962,842
AREX,8/15/2019,0.0000,0.0000,0.0000,3,0,975,1238
ARGT,8/15/2019,0.4577,0.6683,0.5630,75,17,1215,418
ARGX,8/15/2019,0.4751,0.4465,0.4608,617,305,1752,1233
ARI,8/15/2019,0.1563,0.1968,0.1765,2,21,978,245
ARKK,8/15/2019,0.3596,0.2966,0.3281,13,5,1080,1737
ARKW,8/15/2019,0.4608,0.5243,0.4926,3,0,137,118
ARLO,8/15/2019,0.9385,1.0831,1.0108,200,102,38023,9296
ARLP,8/15/2019,0.3514,0.3168,0.3341,347,731,8434,13131
ARMK,8/15/2019,0.3063,0.3130,0.3096,147,3,33434,4833
ARNA,8/15/2019,0.5376,0.5578,0.5477,163,79,15275,4009
ARNC,8/15/2019,0.2897,0.3213,0.3055,606,125,40644,31684
AROC,8/15/2019,0.5471,0.4865,0.5168,103,110,3067,2198
AROW,8/15/2019,0.1267,0.1820,0.1543,0,0,15,19
ARQL,8/15/2019,1.1798,1.0726,1.1262,1467,127,24403,12564
ARR,8/15/2019,0.0200,0.0208,0.0204,56,453,2819,4175
ARRY,8/15/2019,0.0000,0.0000,0.0000,0,0,12754,50986
ARTNA,8/15/2019,0.2743,0.2564,0.2653,0,0,127,13
ARTX,8/15/2019,0.5994,0.5994,0.5994,8,1,1973,814
ARVN,8/15/2019,1.0154,0.9081,0.9618,0,11,25,22
ARW,8/15/2019,0.3139,0.3097,0.3118,10,29,2204,1845
ARWR,8/15/2019,0.5754,0.5602,0.5678,670,123,39356,12777
ASA,8/15/2019,0.2408,0.4000,0.3204,77,0,2702,177
ASB,8/15/2019,0.2732,0.3900,0.3316,0,0,232,96
ASC,8/15/2019,1.0738,0.7500,0.9119,0,410,3002,2069
ASFI,8/15/2019,0.7072,0.4224,0.5648,5,0,58,40
ASGN,8/15/2019,0.3580,0.3510,0.3545,1,7,1053,3554
ASH,8/15/2019,0.2701,0.2701,0.2701,13,1,8848,12708
ASHR,8/15/2019,0.2661,0.2700,0.2680,19766,5286,160434,223570
ASHS,8/15/2019,0.2793,0.2925,0.2859,13,0,2628,860
ASIX,8/15/2019,0.5471,0.5568,0.5519,0,0,664,107
ASMB,8/15/2019,0.7589,1.0517,0.9053,0,0,6728,155
ASML,8/15/2019,0.3218,0.3226,0.3222,938,1046,10467,10366
ASNA,8/15/2019,0.0000,0.0000,0.0000,221,0,14629,4742
ASND,8/15/2019,0.4955,0.4864,0.4910,263,307,7634,3157
ASPS,8/15/2019,0.4720,0.4605,0.4662,0,7,633,243
ASR,8/15/2019,0.3355,0.3395,0.3375,0,0,48,43
ASRT,8/15/2019,0.8842,1.1913,1.0378,115,1,7745,414
ASRV,8/15/2019,0.3628,0.3628,0.3628,0,0,81,0
ASTE,8/15/2019,0.4203,0.4075,0.4139,2,0,665,893
ASUR,8/15/2019,0.5340,0.7031,0.6185,16,0,1998,263
ASYS,8/15/2019,0.3893,0.4110,0.4002,5,0,801,268
AT,8/15/2019,0.0000,0.0000,0.0000,280,1,3682,2154
ATAX,8/15/2019,0.5816,0.5954,0.5885,0,0,964,1
ATEC,8/15/2019,1.0554,0.8841,0.9697,2,1,1041,3
ATEN,8/15/2019,0.5081,0.3045,0.4063,44,220,7040,17220
ATEX,8/15/2019,0.7248,0.6773,0.7010,291,4,1553,13
ATGE,8/15/2019,0.4226,0.4007,0.4116,8,0,1419,1118
ATH,8/15/2019,0.3148,0.3111,0.3130,9,323,13573,17321
ATHM,8/15/2019,0.4589,0.4521,0.4555,172,60,6784,11298
ATHX,8/15/2019,1.6268,1.6261,1.6265,12,0,6122,1734
ATI,8/15/2019,0.4993,0.4854,0.4924,213,31,11509,6232
ATKR,8/15/2019,0.4063,0.4371,0.4217,4,0,693,69
ATLC,8/15/2019,0.4582,0.4599,0.4590,29,4,54,25
ATNI,8/15/2019,0.4666,0.3793,0.4230,0,0,83,115
ATNM,8/15/2019,0.0000,0.0000,0.0000,0,0,2352,0
ATNX,8/15/2019,1.4212,1.2067,1.3140,24,216,8803,7586
ATO,8/15/2019,0.1739,0.1821,0.1780,15,5,882,312
ATOS,8/15/2019,2.6034,2.5874,2.5954,22,0,360,25
ATR,8/15/2019,0.2164,0.1995,0.2080,3,13,498,523
ATRA,8/15/2019,1.2254,1.1349,1.1802,69,3,7712,2264
ATRC,8/15/2019,0.4541,0.4585,0.4563,0,5,2250,135
ATRS,8/15/2019,1.2542,1.2528,1.2535,255,160,11922,10954
ATSG,8/15/2019,0.3973,0.4139,0.4056,7,0,10330,12137
ATU,8/15/2019,0.3714,0.3682,0.3698,0,0,294,291
ATUS,8/15/2019,0.2923,0.3163,0.3043,3601,36,34959,25052
ATVI,8/15/2019,0.3787,0.3768,0.3778,4443,2835,185567,159935
AU,8/15/2019,0.5181,0.5285,0.5233,3604,98,69142,40593
AUB,8/15/2019,0.1968,0.3126,0.2547,0,0,73,0
AUDC,8/15/2019,0.4321,0.4575,0.4448,18,5,7379,4728
AUMN,8/15/2019,0.0000,0.0000,0.0000,0,0,118,5
AUO,8/15/2019,0.0000,0.0000,0.0000,0,1,344,58
AUPH,8/15/2019,0.4282,0.3766,0.4024,57,16,30494,7582
AUTO,8/15/2019,0.0000,0.0000,0.0000,0,0,151,45
AUY,8/15/2019,0.6258,0.6300,0.6279,12791,3415,228364,68141
AVA,8/15/2019,0.1572,0.2754,0.2163,0,0,67,17
AVAV,8/15/2019,0.6572,0.6793,0.6682,49,20,4397,2336
AVB,8/15/2019,0.1994,0.1866,0.1930,27,28,5272,6171
AVD,8/15/2019,0.3046,0.3723,0.3385,0,66,207,3130
AVDL,8/15/2019,1.6926,1.6921,1.6924,10,0,4613,492
AVEO,8/15/2019,1.6728,1.6842,1.6785,1208,118,121483,26652
AVGO,8/15/2019,0.4124,0.4176,0.4150,5856,4886,100542,105552
AVH,8/15/2019,1.6529,1.6529,1.6529,20,10,768,431
AVID,8/15/2019,0.6025,0.8106,0.7066,5,0,3984,550
AVLR,8/15/2019,0.5423,0.5412,0.5417,1326,43,8435,7314
AVNS,8/15/2019,0.3975,0.3919,0.3947,4,0,1490,133
AVP,8/15/2019,0.3150,0.2544,0.2847,142,36,129187,59037
AVRO,8/15/2019,1.2110,1.2185,1.2148,0,0,0,7
AVT,8/15/2019,0.2820,0.3367,0.3094,1,7,1546,3001
AVTR,8/15/2019,0.4655,0.4329,0.4492,1,10,1849,1726
AVX,8/15/2019,0.3356,0.3327,0.3342,80,2,711,546
AVXL,8/15/2019,1.2535,1.1646,1.2090,222,10,11672,6167
AVY,8/15/2019,0.2153,0.2715,0.2434,325,18,1428,1195
AVYA,8/15/2019,0.9109,0.9124,0.9116,2476,1862,120780,59223
AWI,8/15/2019,0.2602,0.2551,0.2576,10,12,7455,2356
AWK,8/15/2019,0.2016,0.2000,0.2008,468,54,5240,3956
AWR,8/15/2019,0.2273,0.2267,0.2270,196,16,1289,1496
AWRE,8/15/2019,1.4181,1.4181,1.4181,0,0,96,11
AX,8/15/2019,0.4108,0.3994,0.4051,4,8,4035,9185
AXAS,8/15/2019,0.0000,0.0000,0.0000,0,0,781,18
AXDX,8/15/2019,0.6923,0.7393,0.7158,3372,281,15772,9563
AXE,8/15/2019,0.3635,0.3585,0.3610,2,0,787,904
AXGN,8/15/2019,0.6021,0.6056,0.6038,16,20,7685,4511
AXGT,8/15/2019,0.8117,0.8883,0.8500,67,0,8194,2374
AXL,8/15/2019,0.6181,0.5961,0.6071,122,108,28440,61931
AXNX,8/15/2019,0.9221,0.9371,0.9296,0,10,111,7
AXP,8/15/2019,0.2337,0.2315,0.2326,2779,3246,72894,92217
AXS,8/15/2019,0.2138,0.1976,0.2057,46,4,2714,1167
AXSM,8/15/2019,1.0469,1.0099,1.0284,5173,1257,19763,4938
AXTA,8/15/2019,0.4676,0.4746,0.4711,767,777,84715,20844
AXTI,8/15/2019,1.2511,1.2677,1.2594,0,12,2330,220
AXU,8/15/2019,0.0000,0.0000,0.0000,439,26,6281,124
AY,8/15/2019,0.1393,0.2479,0.1936,0,0,3649,911
AYI,8/15/2019,0.3940,0.3877,0.3909,71,89,5522,4367
AYR,8/15/2019,0.2260,0.3351,0.2806,12,9,2209,654
AYX,8/15/2019,0.5165,0.5224,0.5194,606,310,15241,14903
AZN,8/15/2019,0.2269,0.2092,0.2180,516,579,25984,21661
AZO,8/15/2019,0.2608,0.2430,0.2519,392,599,7883,10597
AZPN,8/15/2019,0.3294,0.3097,0.3196,17,6,1457,3329
AZUL,8/15/2019,0.4900,0.5048,0.4974,21,42,2209,3543
AZZ,8/15/2019,0.3202,0.3278,0.3240,3,31,800,117
B,8/15/2019,0.3708,0.3747,0.3728,1,21,141,180
BA,8/15/2019,0.2908,0.2920,0.2914,39843,41611,264024,277650
